distance_km,nominal_speed_kmph,slope_deg,rainfall_mm,risk_score,elevation_m,vehicle_type,nominal_time_mins,actual_time_mins,delay_mins,delay_probability,primary_delay_cause
164.64,33.8,6.0,90.3,0.614,320,Heavy Supply Truck (16T),292.7,641.3,348.6,0.565,Torrential Rainfall & Reduced Visibility
56.37,20.0,31.4,1.8,0.803,4170,4x4 Hill Freight Carrier,169.1,567.0,397.9,0.565,Active Landslide Clearance / Road Blockage
659.22,33.8,21.0,36.94,0.724,1650,Heavy Supply Truck (16T),1171.9,2437.6,1265.6,0.562,Steep Mountain Grade & Hairpin Bends
296.73,33.8,8.5,6.08,0.331,350,Heavy Supply Truck (16T),527.5,659.2,131.7,0.241,Standard Mountain Traffic Flow
349.47,51.7,18.0,22.32,0.523,1500,Light Disaster Utility (4WD),405.2,694.8,289.6,0.4,Active Landslide Clearance / Road Blockage
48.47,45.0,12.8,10.37,0.363,240,4x4 Hill Freight Carrier,64.6,116.2,51.6,0.27,Active Landslide Clearance / Road Blockage
386.14,33.8,18.0,46.14,0.708,1500,Heavy Supply Truck (16T),686.5,1595.2,908.7,0.565,Active Landslide Clearance / Road Blockage
449.56,51.7,21.0,28.06,0.641,1650,Light Disaster Utility (4WD),521.2,991.6,470.3,0.491,Steep Mountain Grade & Hairpin Bends
291.71,45.0,18.0,89.21,0.847,1500,Refrigerated Medical Van,388.9,1023.8,634.8,0.727,Torrential Rainfall & Reduced Visibility
227.66,45.0,4.2,17.4,0.175,95,4x4 Hill Freight Carrier,303.5,351.0,47.5,0.149,Standard Mountain Traffic Flow
478.13,51.7,21.0,20.51,0.723,1650,Light Disaster Utility (4WD),554.4,1211.9,657.5,0.537,Active Landslide Clearance / Road Blockage
111.75,30.0,26.5,23.74,0.614,2450,4x4 Hill Freight Carrier,223.5,398.6,175.1,0.465,Steep Mountain Grade & Hairpin Bends
72.49,22.5,24.2,104.78,1.0,3200,Heavy Supply Truck (16T),193.3,828.7,635.4,0.857,Active Landslide Clearance / Road Blockage
46.55,45.0,12.8,6.54,0.42,240,Refrigerated Medical Van,62.1,84.9,22.9,0.304,Standard Mountain Traffic Flow
286.92,45.0,18.0,11.81,0.493,1500,Refrigerated Medical Van,382.6,576.7,194.1,0.363,Standard Mountain Traffic Flow
745.26,51.7,21.0,13.24,0.617,1650,Light Disaster Utility (4WD),864.1,1500.9,636.8,0.452,Steep Mountain Grade & Hairpin Bends
97.67,15.0,14.5,23.47,0.29,1550,Heavy Supply Truck (16T),390.7,503.9,113.2,0.238,Standard Mountain Traffic Flow
272.7,45.0,8.5,130.02,0.781,350,Refrigerated Medical Van,363.6,972.7,609.1,0.742,Torrential Rainfall & Reduced Visibility
462.5,45.0,18.0,6.65,0.598,1500,Refrigerated Medical Van,616.7,1028.4,411.7,0.429,Standard Mountain Traffic Flow
723.54,33.8,21.0,2.31,0.656,1650,Heavy Supply Truck (16T),1286.3,2379.1,1092.8,0.463,Active Landslide Clearance / Road Blockage
37.01,30.0,16.0,59.66,0.543,2100,Refrigerated Medical Van,74.0,135.6,61.6,0.47,Standard Mountain Traffic Flow
35.47,22.5,16.0,11.17,0.48,2100,Heavy Supply Truck (16T),94.6,140.2,45.6,0.353,Standard Mountain Traffic Flow
220.94,45.0,22.0,39.24,0.849,1400,Refrigerated Medical Van,294.6,840.3,545.7,0.653,Active Landslide Clearance / Road Blockage
68.93,30.0,24.2,37.47,0.785,3200,4x4 Hill Freight Carrier,137.9,306.3,168.4,0.606,Steep Mountain Grade & Hairpin Bends
719.58,33.8,21.0,24.72,0.697,1650,Heavy Supply Truck (16T),1279.2,2506.3,1227.1,0.525,Steep Mountain Grade & Hairpin Bends
111.93,30.0,26.5,16.73,0.725,2450,4x4 Hill Freight Carrier,223.9,493.4,269.5,0.533,Active Landslide Clearance / Road Blockage
85.8,20.0,14.5,0.96,0.113,1550,Refrigerated Medical Van,257.4,266.8,9.4,0.08,Standard Mountain Traffic Flow
179.18,45.0,6.0,71.44,0.558,320,4x4 Hill Freight Carrier,238.9,457.9,219.0,0.498,Torrential Rainfall & Reduced Visibility
173.46,45.0,4.2,15.85,0.144,95,4x4 Hill Freight Carrier,231.3,260.9,29.6,0.125,Standard Mountain Traffic Flow
151.99,45.0,4.2,10.26,0.198,95,Refrigerated Medical Van,202.7,230.7,28.0,0.154,Standard Mountain Traffic Flow
89.46,20.0,14.5,79.65,0.524,1550,Refrigerated Medical Van,268.4,563.5,295.1,0.486,Active Landslide Clearance / Road Blockage
470.09,45.0,18.0,6.19,0.603,1500,Refrigerated Medical Van,626.8,1104.5,477.7,0.431,Active Landslide Clearance / Road Blockage
253.17,51.7,22.0,49.42,0.832,1400,Light Disaster Utility (4WD),293.5,703.5,410.0,0.657,Steep Mountain Grade & Hairpin Bends
135.94,51.7,6.0,7.76,0.285,320,Light Disaster Utility (4WD),157.6,190.0,32.4,0.211,Standard Mountain Traffic Flow
105.5,30.0,26.5,51.11,0.652,2450,Refrigerated Medical Van,211.0,509.4,298.4,0.533,Active Landslide Clearance / Road Blockage
477.31,45.0,21.0,12.36,0.667,1650,Refrigerated Medical Van,636.4,1166.6,530.2,0.485,Steep Mountain Grade & Hairpin Bends
143.08,23.0,14.5,11.71,0.321,1550,Light Disaster Utility (4WD),373.3,472.4,99.2,0.242,Standard Mountain Traffic Flow
82.25,30.0,24.2,107.03,1.0,3200,4x4 Hill Freight Carrier,164.5,515.8,351.3,0.861,Torrential Rainfall & Reduced Visibility
