road_id,length_km,slope_deg,elevation_m,rainfall_24h_mm,rainfall_7d_accum_mm,temp_c,soil_saturation,river_proximity_km,hist_disruptions,satellite_water_proxy,landslide_risk,flood_risk,overall_risk,is_disrupted
RD-TEZ-ITA-11,155.0,5.297539875829992,308.293152152541,190.51,824.91,22.0,1.0,1.82,1,0.975,0.9578,0.9649,0.9808,1
RD-GHY-GTK-12,540.0,19.42449057846556,1563.7541083743483,7.09,23.12,19.7,0.377,0.19,8,0.324,0.8145,0.8723,0.908,1
RD-BMD-DRG-04,42.0,14.366851826424451,2105.546129485493,175.53,526.46,19.4,1.0,0.97,4,0.955,0.9806,0.9487,1.0,1
RD-TEZ-BHK-02,54.0,15.642319463139916,239.3251387631033,3.6,15.15,17.2,0.35,0.05,3,0.38,0.6339,0.9974,0.9776,1
RD-GHY-ITA-09,320.0,9.155914948161588,394.08805194743053,135.42,514.64,20.4,1.0,0.9,2,0.775,0.8683,0.9476,0.9569,1
RD-GHY-SHL-07,98.0,17.671366678656746,1516.153899984702,136.67,389.82,28.1,1.0,3.12,2,0.693,0.9488,0.8986,0.9524,1
RD-TEZ-BHK-02,54.0,8.275540131357552,294.98234878924103,198.25,532.33,14.8,1.0,0.16,4,1.0,0.9569,1.0,1.0,1
RD-GHY-ITA-09,320.0,9.389684152986913,368.0697802754207,22.37,62.61,25.4,0.259,1.41,4,0.209,0.5845,0.6547,0.6419,0
RD-GHY-ITA-09,320.0,11.210597471877527,350.9500165531075,67.77,277.24,13.4,0.974,0.99,3,0.45,0.7967,0.8567,0.8586,1
RD-TEZ-ITA-11,155.0,4.719393617880831,365.7701058851037,6.15,29.68,28.2,0.149,1.57,2,0.126,0.3945,0.5939,0.562,0
RD-GHY-SHL-07,98.0,13.323675540603528,1476.824252593394,225.19,742.0,7.3,1.0,3.06,2,1.0,0.9798,0.8966,0.9826,1
RD-GHY-NAG-10,345.0,19.0365538316663,1491.9357144166995,8.79,24.61,14.1,0.132,0.98,8,0.176,0.7865,0.4961,0.779,1
RD-GHY-TEZ-01,178.0,4.380690629823079,218.1621056242643,12.53,40.24,5.1,0.184,0.76,0,0.217,0.3461,0.8,0.7335,1
RD-BHK-BMD-03,96.0,26.47785955016628,2489.5515973521524,9.7,40.55,26.8,0.435,0.22,7,0.324,0.8859,0.9247,0.9669,1
RD-SELA-TWG-06,78.0,29.319814861035386,3243.679470781769,3.31,15.2,13.6,0.101,1.8,6,0.102,0.7963,0.3257,0.7777,1
RD-BMD-DRG-04,42.0,17.420777291905544,2080.586780051169,41.1,142.48,32.1,0.525,1.02,4,0.323,0.8291,0.6098,0.8186,1
RD-SELA-TWG-06,78.0,24.97964838274527,3239.0911435888656,186.11,711.69,11.3,1.0,1.55,10,0.966,0.9518,0.9675,1.0,1
RD-GHY-SHL-07,98.0,17.042204297729917,1558.7416505995736,72.5,301.51,4.2,1.0,2.76,4,0.4,0.8442,0.683,0.822,1
RD-SELA-TWG-06,78.0,25.47345873216935,3247.0267792481004,13.78,60.15,23.5,0.251,1.63,7,0.158,0.8417,0.447,0.8339,1
RD-GHY-TEZ-01,178.0,3.4812164754185715,81.76715833810219,34.91,156.63,19.1,0.572,1.34,0,0.271,0.4602,0.8586,0.8011,1
RD-GHY-ITA-09,320.0,8.127602833355022,387.01704089738695,138.32,407.04,32.2,1.0,1.01,4,0.778,0.9497,0.967,0.9877,1
RD-GHY-SHL-07,98.0,10.762783663864036,1552.9104359223,239.82,941.33,6.9,1.0,2.77,6,1.0,1.0,0.9647,1.0,1
RD-DRG-SELA-05,62.0,32.94514305891814,4362.636574532736,58.15,271.41,31.4,0.955,2.61,10,0.336,1.0,0.5598,1.0,1
RD-GHY-NAG-10,345.0,17.289544179779973,1410.575174750975,30.22,78.26,18.0,0.311,0.97,7,0.277,0.8068,0.6418,0.8154,1
RD-SELA-TWG-06,78.0,22.00890010484859,3210.8229294790985,25.85,114.4,10.5,0.431,1.81,8,0.207,0.8515,0.4676,0.8455,1
RD-GHY-GTK-12,540.0,22.326222050600194,1611.4090461121623,169.07,537.16,17.2,1.0,0.63,7,0.966,0.9731,0.9641,1.0,1
RD-TEZ-ITA-11,155.0,12.3664685910379,371.62326302755736,173.64,720.69,12.4,1.0,1.2,2,0.928,0.9282,0.9917,1.0,1
RD-DRG-SELA-05,62.0,33.723902160288006,4105.252876276007,22.5,61.75,18.7,0.256,2.48,8,0.172,0.9561,0.4491,0.9491,1
RD-BMD-DRG-04,42.0,19.48949125646488,2100.5116530509795,1.62,5.58,22.8,0.069,1.0,4,0.141,0.6473,0.449,0.6318,0
RD-GHY-SHL-07,98.0,14.682689821351481,1629.3008408072676,30.85,149.63,21.3,0.549,2.75,3,0.205,0.6839,0.4722,0.6477,0
RD-TEZ-ITA-11,155.0,4.540701701842918,330.379913064286,113.72,541.68,9.9,1.0,1.68,1,0.623,0.828,0.904,0.9027,1
RD-BHK-BMD-03,96.0,29.048806291063073,2468.1006955971234,4.4,18.67,22.9,0.112,0.52,7,0.217,0.8481,0.6197,0.8578,1
RD-BMD-DRG-04,42.0,19.832994687365275,2070.4214305582086,57.55,286.37,16.4,1.0,1.31,6,0.379,0.9061,0.6698,0.8992,1
RD-GHY-GTK-12,540.0,21.7848691679174,1684.0976485647482,81.5,306.68,28.8,1.0,0.24,8,0.651,0.9747,0.968,1.0,1
RD-TEZ-ITA-11,155.0,2.981947855500894,259.2905693606134,234.09,955.0,17.5,1.0,1.73,3,1.0,0.987,0.9724,1.0,1
RD-TEZ-ITA-11,155.0,5.973548861262577,350.6920670737712,140.89,664.92,14.5,1.0,1.77,1,0.746,0.8952,0.9351,0.9423,1
RD-GHY-GTK-12,540.0,16.655746975508027,1579.6268112811722,161.27,687.9,6.4,1.0,0.16,9,1.0,0.9787,0.9878,1.0,1
RD-SHL-SIL-08,215.0,21.98631151302911,1416.1359280169045,22.13,58.45,7.6,0.495,0.33,9,0.343,0.913,0.8701,0.9602,1
RD-TEZ-ITA-11,155.0,6.208957993556637,369.17521531792323,8.86,43.47,4.4,0.195,1.59,3,0.137,0.4449,0.6388,0.6076,0
RD-BMD-DRG-04,42.0,13.697957311335852,2094.4534032185243,30.72,146.03,5.4,0.537,1.4,5,0.249,0.7688,0.5042,0.7496,1
RD-GHY-TEZ-01,178.0,1.0,113.1238229402651,145.3,391.48,33.2,1.0,0.91,0,0.819,0.8704,0.9431,0.9368,1
RD-GHY-TEZ-01,178.0,9.69437629756306,91.31944421040468,94.47,440.7,5.4,1.0,0.74,2,0.602,0.7692,1.0,0.9774,1
RD-GHY-SHL-07,98.0,7.1432061960528,1504.9353090667666,122.63,564.75,29.1,1.0,2.98,7,0.63,0.915,0.8294,0.9096,1
RD-BMD-DRG-04,42.0,11.202629582387551,2135.5807439044447,4.84,23.65,22.2,0.129,0.98,5,0.158,0.6087,0.4545,0.5969,0
RD-GHY-NAG-10,345.0,18.509918708721926,1557.6622593214229,25.71,113.92,19.6,0.43,1.11,7,0.245,0.8532,0.6523,0.8607,1
RD-SELA-TWG-06,78.0,26.83347550544034,3113.4563448117215,84.75,214.95,14.5,0.766,2.09,8,0.473,1.0,0.7318,1.0,1
RD-SHL-SIL-08,215.0,21.95584522409519,1439.8202714848164,17.68,71.69,29.9,0.539,0.44,8,0.294,0.8336,0.788,0.8721,1
